#{"t_start": 1760777147.9701302, "env_id": "None"}
r,l,t
200.2,200,71.769055
200.2,200,72.373023
200.2,200,72.44192
200.2,200,72.510264
200.2,200,72.577221
200.2,200,72.644963
200.2,200,73.255938
23.391886,29,73.26667
200.2,200,73.333494
200.2,200,73.39924
200.2,200,73.467224
200.2,200,73.537687
200.2,200,74.094088
200.2,200,74.160002
200.2,200,74.226912
-0.608114,5,74.22919
200.2,200,74.295495
200.2,200,74.361661
200.2,200,74.971706
200.2,200,75.037917
199.27217,200,75.102793
200.2,200,75.16923
200.2,200,75.236351
200.2,200,75.888498
200.2,200,75.954939
200.2,200,76.02159
200.2,200,76.087438
200.2,200,76.153626
202.05,200,76.771745
83.391886,89,76.801792
200.2,200,76.869174
200.2,200,76.938365
200.2,200,77.00414
200.2,200,77.070891
200.2,200,77.622441
194.391886,200,77.689436
200.2,200,77.763427
200.2,200,77.83292
200.2,200,77.899022
200.2,200,78.477468
200.2,200,78.54253
200.2,200,78.608167
200.2,200,78.671074
200.2,200,78.740429
200.2,200,79.374666
200.2,200,79.445128
200.2,200,79.519136
200.2,200,79.589792
200.2,200,79.66003
200.2,200,80.286118
200.2,200,80.353951
200.2,200,80.418899
200.2,200,80.488097
200.2,200,80.557659
200.2,200,80.62393
200.2,200,81.193913
200.2,200,81.26518
200.2,200,81.337757
200.2,200,81.405303
200.2,200,81.472618
200.2,200,82.025558
200.2,200,82.092599
200.2,200,82.158942
200.2,200,82.225692
4.35,10,82.229933
17.391886,23,82.238878
200.2,200,82.310674
200.2,200,82.923177
200.2,200,82.990692
200.2,200,83.057738
200.2,200,83.12585
200.2,200,83.197186
200.2,200,83.823567
200.2,200,83.89139
200.2,200,83.95772
200.2,200,84.025059
200.2,200,84.09232
200.2,200,84.685955
200.2,200,84.758236
200.2,200,84.827938
200.2,200,84.894407
200.2,200,84.960571
200.2,200,85.601197
200.2,200,85.671256
200.2,200,85.740138
200.2,200,85.809613
199.028754,200,85.880051
200.2,200,86.465571
200.2,200,86.531172
200.2,200,86.600715
200.2,200,86.672896
200.2,200,86.744417
200.2,200,87.356157
200.2,200,87.422139
200.2,200,87.487217
